review,rating,date,bank,source
I am assured of being with a great banking institution by the caring compassionate quality of service and excellence I experience and have been enjoying.,5,2025-06-06,Chase,Google Play Store
I have been with Chase for years now and they always have incentives that either save me money or get me cash back. They have increased my credit limit more times without me requesting it like I have to do with my other cards. If you have Prime and don't have this card your throwing away money you could be getting back from every purchase on Amazon.,5,2025-06-06,Chase,Google Play Store
👍 great,5,2025-06-06,Chase,Google Play Store
does everything that I need,5,2025-06-06,Chase,Google Play Store
amazing app love it,5,2025-06-06,Chase,Google Play Store
Needs major upgarde to this app compared to other banks. it doesn't provide notification s on charges,3,2025-06-05,Chase,Google Play Store
Great customer service representative,5,2025-06-05,Chase,Google Play Store
best bank ever. if I need them they are there to help.,5,2025-06-05,Chase,Google Play Store
I have excellent credit and the interest rate is still ridiculous. horrendous even. I barely use this card despite the high limit.,2,2025-06-05,Chase,Google Play Store
Great app and easy to use.,5,2025-06-05,Chase,Google Play Store
I love Chase. I am very satisfied in our dealings together & sometime soon look forward to traveling again. I would definitely recommend them to anyone,5,2025-06-05,Chase,Google Play Store
love this !!,5,2025-06-05,Chase,Google Play Store
ridiculously hard to use Affirm is way easier,1,2025-06-05,Chase,Google Play Store
works great,5,2025-06-05,Chase,Google Play Store
I just love this bank. it's a great online resource and I enjoy all the rewards and points using my card!,5,2025-06-05,Chase,Google Play Store
great,5,2025-06-05,Chase,Google Play Store
"Great sense of security with Chase, they have my back.",5,2025-06-05,Chase,Google Play Store
Great app!!!,5,2025-06-05,Chase,Google Play Store
Great app 👌,5,2025-06-05,Chase,Google Play Store
easy to use app,5,2025-06-05,Chase,Google Play Store
"horrible app and horrible company. it's hard to get through and talk to anybody on the phone. I've had my account for over 10 years and they haven't lowered my rates once despite calling and asking. the app keeps wanting to verify my identity and I've scanned my ID numerous times at this point and it won't accept it. I've already gone online and updated all the info I need, but yet the god damn app won't let me in. Just an overall terrible company.",1,2025-06-05,Chase,Google Play Store
"these people do not listen, even when they say they understand. I told chase that this charge was a scam, they said they understood but they lied. not only did the people where this scam occurred from, sent me a notification telling me that a scam is a working advertisement, and when I went online to research this organization, the internet says it is a scam. these people take care of my money and when they reversed my claim against this scam, well that there says they don't care about me or my",1,2025-06-05,Chase,Google Play Store
easy to use,5,2025-06-05,Chase,Google Play Store
no 2FA through a third party authenticator app? are they kidding?,1,2025-06-05,Chase,Google Play Store
love it,5,2025-06-05,Chase,Google Play Store
"the best bank I've ever worked with courteous respectfull ,more than I could ask for thanks for your service..",4,2025-06-05,Chase,Google Play Store
"Easy to use, nice design, clean feeling. I've said it once before and I'll say it again with more detail. The cash back feature on this app is my favorite. It beats other banking apps that I've used. Other apps will only allow cash back as a statement credit. Chase gives you the option of statement credit or cash back sent to another checking account. Because of this, I am willing to keep using chase instead of other banks. Thank you, Chase.",5,2025-06-05,Chase,Google Play Store
terrible,1,2025-06-05,Chase,Google Play Store
i love CHASE BANK,5,2025-06-05,Chase,Google Play Store
they've been great to me for 4 years now,5,2025-06-05,Chase,Google Play Store
I Love This Bank! Very Easy To Operate the Banking App!,5,2025-06-05,Chase,Google Play Store
I think that Chase Mobile Banking app should show all of your subscriptions & whatever is taken out of bank account that your paying for & if you want to cancel them your able to do so .,3,2025-06-05,Chase,Google Play Store
very easy to use app,5,2025-06-05,Chase,Google Play Store
I love my Chase card!!!,5,2025-06-05,Chase,Google Play Store
when I have a problem they are right on top of it and take care of it,5,2025-06-05,Chase,Google Play Store
"Don't use this bank or app unless you want to be constantly asked what you are doing with your money and whatnot. I understand that scamming has become more rampant lately, but good grief. Why I got to explain myself about what I do with my money? Also, if they close your account(s), don't expect an answer if you ask them. They'll just tell you that they don't know when they clearly do. (As a former customer, I feel like I have the right to know why my account(s) were closed)",1,2025-06-04,Chase,Google Play Store
great bank,5,2025-06-04,Chase,Google Play Store
The app is easy to use! Love it!,5,2025-06-04,Chase,Google Play Store
Love having all my Chase accounts in one place.,5,2025-06-04,Chase,Google Play Store
always so so nice here! wish they could get new/ better working arms? tho,5,2025-06-04,Chase,Google Play Store
best app ever,5,2025-06-04,Chase,Google Play Store
19.4% interest rate is usurious but it's Amerikkka where everything is criminally corrupt.,1,2025-06-04,Chase,Google Play Store
best ever,5,2025-06-04,Chase,Google Play Store
always great customer service.,5,2025-06-04,Chase,Google Play Store
wat to much advertising for other credit cards but other then that good product.,4,2025-06-04,Chase,Google Play Store
very easy to use,5,2025-06-04,Chase,Google Play Store
too quick to cut off credit need to change their policy,2,2025-06-04,Chase,Google Play Store
Convenient!,5,2025-06-04,Chase,Google Play Store
Neither the Chase app or website work for me. I give up trying.,2,2025-06-04,Chase,Google Play Store
The app is very streamlined and easy to use.,5,2025-06-04,Chase,Google Play Store
"works well, quick, secure, 👍🔐",4,2025-06-04,Chase,Google Play Store
Always been there for me.,5,2025-06-04,Chase,Google Play Store
Best company to deal with by far. 100% pleased all around.,5,2025-06-04,Chase,Google Play Store
Decent and all but WHY do you have options to edit phone numbers or PINs on the app if I STILL HAVE TO CALL YOU OR VISIT A BRANCH TO CHANGE IT? Why even have the blasted button????,3,2025-06-04,Chase,Google Play Store
i dont like people seeing my info.,1,2025-06-04,Chase,Google Play Store
great job,5,2025-06-04,Chase,Google Play Store
use this app for the last 9 years had no problems,5,2025-06-03,Chase,Google Play Store
Won't load waste of time looking for another bank.,1,2025-06-03,Chase,Google Play Store
no raise in few years,3,2025-06-03,Chase,Google Play Store
very good,5,2025-06-03,Chase,Google Play Store
can't even log in to my app to pay my bill. chase won't let me!,1,2025-06-03,Chase,Google Play Store
Just randomly making the app unusable so I cannot access my stuff,1,2025-06-03,Chase,Google Play Store
wonderful app,5,2025-06-03,Chase,Google Play Store
As of now I have had no problems with Chase Bank.,5,2025-06-03,Chase,Google Play Store
love chase credit cards,5,2025-06-03,Chase,Google Play Store
"easy and reliable to use, its easy to understand stand from my prospective",5,2025-06-03,Chase,Google Play Store
"Chase is great. ""all is well""",5,2025-06-03,Chase,Google Play Store
knows nothing about my existing account. how am I supposed to login? I hate bank apps,1,2025-06-03,Chase,Google Play Store
"Easy, reliable, secure financial services... simple banking for my simple needs, but should I ever grow financially I know I'm right where I need to be. With all the advice I can get.",4,2025-06-03,Chase,Google Play Store
Doesn't allow notifications for when money is deposted. Can't verify new external banks. App needs work.,2,2025-06-03,Chase,Google Play Store
some features don't work and the app has become very slow,3,2025-06-03,Chase,Google Play Store
best app to check out your account balance and more.,5,2025-06-03,Chase,Google Play Store
best,5,2025-06-03,Chase,Google Play Store
This is hard to work.,4,2025-06-03,Chase,Google Play Store
the best,5,2025-06-03,Chase,Google Play Store
love the security they have and the personality of the bankers and the VP very helpful people,5,2025-06-03,Chase,Google Play Store
great banking app,5,2025-06-03,Chase,Google Play Store
I love how my card is accepted everywhere and the rewards program is great!!,5,2025-06-03,Chase,Google Play Store
nise,5,2025-06-03,Chase,Google Play Store
Excellent credit service!!!,5,2025-06-03,Chase,Google Play Store
Easy to use.,5,2025-06-03,Chase,Google Play Store
👍,5,2025-06-03,Chase,Google Play Store
app is so slow now.,1,2025-06-03,Chase,Google Play Store
"The mobile Chase app (cell phone) seems to work, but I can not access Chase from my laptop. I am concerned.",1,2025-06-03,Chase,Google Play Store
good people doing good work,5,2025-06-02,Chase,Google Play Store
Love Chase rotating 5% bonus categories!,5,2025-06-02,Chase,Google Play Store
"works good for me, but when it doesn't customer service always professional and polite",5,2025-06-02,Chase,Google Play Store
it is very user friendly.,5,2025-06-02,Chase,Google Play Store
Easy to navigate,5,2025-06-02,Chase,Google Play Store
"everything is easy to do, like make a payment",5,2025-06-02,Chase,Google Play Store
nice points are the best,5,2025-06-02,Chase,Google Play Store
"Love this app. Thank you, Chase Bank",5,2025-06-02,Chase,Google Play Store
I love having a bank account with chase bank,5,2025-06-02,Chase,Google Play Store
very friendly and great customer service,5,2025-06-02,Chase,Google Play Store
just another brick in the wall.,4,2025-06-02,Chase,Google Play Store
"Question, why do I have to tap on search twice before the keyboard comes up? isnt it clear that I tapped on search to start typing in the search bar? This only happens in your app and only on your search bar, no where else.",2,2025-06-02,Chase,Google Play Store
sucked,1,2025-06-02,Chase,Google Play Store
"I needed to lock my card due to a fraudulent charge, but that part of the website isn't working. Now the charge will go through because of this flaw in the website.",1,2025-06-02,Chase,Google Play Store
very good service & so convenient. No hassle no having to ride to the bank. Its just a service that takes an extra load off of a person's back. Thank u 💓,5,2025-06-02,Chase,Google Play Store
been great for us!,5,2025-06-02,Chase,Google Play Store
great banking experience,5,2025-06-02,Chase,Google Play Store
CHASE MOBILE IS A GREATVSITE. EASY TO USE,5,2025-06-02,Chase,Google Play Store
Great Customer Service. Very helpful. Professional but still personable,5,2025-06-02,Chase,Google Play Store
push app does not work,1,2025-06-02,Chase,Google Play Store
Great app and great customer service,5,2025-06-02,Chase,Google Play Store
perfect everything. always.,5,2025-06-02,Chase,Google Play Store
Excellent app,5,2025-06-01,Chase,Google Play Store
slow,1,2025-06-01,Chase,Google Play Store
stop giving our info away.😤,1,2025-06-01,Chase,Google Play Store
too many ads that lock up the app 7noess you subscribe.,1,2025-06-01,Chase,Google Play Store
love Chase Bank!! 🩷,5,2025-06-01,Chase,Google Play Store
It stop working june 01 2025,1,2025-06-01,Chase,Google Play Store
The service use has worked well for me.,4,2025-06-01,Chase,Google Play Store
good and easy,3,2025-06-01,Chase,Google Play Store
so easy and quick great app,5,2025-06-01,Chase,Google Play Store
I love how simple and easy it is to use.,5,2025-06-01,Chase,Google Play Store
Great credit cards. App is clean and easy to use.,5,2025-06-01,Chase,Google Play Store
Great card Great app. period,5,2025-06-01,Chase,Google Play Store
"Chase told me I needed to use my card, or else they would close that account. I don't want to lose that account because that would hurt my credit score. I just tried to unlock my card for use, but the computer things on Chase's side weren't working, so I couldn't unlock or use it. This is a big reason why my Chase cards aren't my normal to-go assets.",1,2025-06-01,Chase,Google Play Store
works great no complaints,5,2025-06-01,Chase,Google Play Store
they don't piss me off. and that's saying a lot.,4,2025-06-01,Chase,Google Play Store
good service and professional and friendly,5,2025-06-01,Chase,Google Play Store
excellent way to take care of your credit,5,2025-06-01,Chase,Google Play Store
Is a pledger to have Joe bank on your phone. But I need to learn you that a little better too cause. You can hurt you if you don't use it right,5,2025-06-01,Chase,Google Play Store
awesome,5,2025-06-01,Chase,Google Play Store
Awesome,5,2025-06-01,Chase,Google Play Store
Overall easy to use interface.,5,2025-06-01,Chase,Google Play Store
"I don't like the new upgrade of the app, the other way was much simpler",1,2025-06-01,Chase,Google Play Store
keep up the excellent service,5,2025-05-31,Chase,Google Play Store
best credit card I have,5,2025-05-31,Chase,Google Play Store
Ok,5,2025-05-31,Chase,Google Play Store
"Galaxy S25 Ultra This is probably the most user friendly banking app I use. It just barely edges out my Navy Federal app. Time is a resource I have little of. Between my 1 hour each way commute to and from work and 10hr work day. I need an app that is straight forward and leaves me with well, to borrow an old Staples slogan: ""That was easy.""-Staples early 2000's. It seems my other apps work on minutes, this app works on seconds. It's stopwatch vs sundial.",5,2025-05-31,Chase,Google Play Store
don't like it,1,2025-05-31,Chase,Google Play Store
"I love the points. App/payments are easy. Just try to pay it off every month, and enjoy the rewards. It's one of my favorite cards. And the one I use most often.",4,2025-05-31,Chase,Google Play Store
"It's a good app overall. However, searching for a particular transaction is cumbersome. I wish, like in most other banking apps, searching or filtering transactions by keyword was an option.",3,2025-05-31,Chase,Google Play Store
I'm very pleased with the service provided by. Chase.,5,2025-05-31,Chase,Google Play Store
I switched to Chase after being a PNC customer for years. I really appreciate Chase banking and the great service it provides.,5,2025-05-31,Chase,Google Play Store
do not want others knowing my information. my identity has been utilized twice bad ideal.,2,2025-05-31,Chase,Google Play Store
This is the best app to use and track your credit.,5,2025-05-31,Chase,Google Play Store
"awesome company, never disappointed",5,2025-05-31,Chase,Google Play Store
this app is very important to me being a disabled person with no transportation this app is the only way I can tend to my banking and business transactions to make it through life $1 at a time. thanks Chase,5,2025-05-31,Chase,Google Play Store
Stopped autofilling my password,1,2025-05-31,Chase,Google Play Store
better than I thought. I was hesitant but feeling better now.,5,2025-05-31,Chase,Google Play Store
"Another way for chase to push unavoidable marketing on people who are already customers. The app is riddled with ads and popups for loan and credit services and there's no way to disable the neverending onslaught of spam. I'm currently in the process of closing all my chase accounts just so I can get away from their completely unregulated spam. I've written their marketing department at length about this issue, they don't care about what they are doing to their customers. Still true June 2025.",1,2025-05-31,Chase,Google Play Store
"Use it only for Amazon purchases with the Amazon credit card. I love it cause it is convenient and easy to use. customer service is helpful too, so stress less.",5,2025-05-31,Chase,Google Play Store
Chase fraud alert lost my preorder of a high-demand item. Your Artificial Intelligence is really just Artificial Stupidity that you're not accountable for. Give me an option to disable.,1,2025-05-31,Chase,Google Play Store
The ease of use is very much appreciated.,5,2025-05-31,Chase,Google Play Store
This app is great for my credit cards,5,2025-05-31,Chase,Google Play Store
I like it's easy to read the app,5,2025-05-31,Chase,Google Play Store
I think the UI update for card holders is a general improvement to ease of use.,4,2025-05-31,Chase,Google Play Store
user friendly,5,2025-05-31,Chase,Google Play Store
"it's my amazon prime card but I really like it,has alot of offers and if I use it for gas/restaurants I get like 3 points witch adds to my prime and can use to buy things with.considering getting a regular chase card for points.good credit card.i use the app to pay the bill and its easy to navigate also offers a fico credit score for free,can't beat that.",5,2025-05-31,Chase,Google Play Store
love chase,5,2025-05-30,Chase,Google Play Store
Excellent service every day.,5,2025-05-30,Chase,Google Play Store
they are heavily invested in fossil fuels :(,1,2025-05-30,Chase,Google Play Store
great app,5,2025-05-30,Chase,Google Play Store
Easy to navigate and use,5,2025-05-30,Chase,Google Play Store
chase has been real good.,5,2025-05-30,Chase,Google Play Store
excellent,5,2025-05-30,Chase,Google Play Store
trusted reliable card excellent for use at Amazon,5,2025-05-30,Chase,Google Play Store
constantly has issue's ordering things on Amazon,1,2025-05-30,Chase,Google Play Store
The credit calculator is real cool on this app,5,2025-05-30,Chase,Google Play Store
Awesome!,5,2025-05-30,Chase,Google Play Store
I find their interface easy to use your credit score and information very well presented fairly natural to follow,5,2025-05-30,Chase,Google Play Store
Boomskies,5,2025-05-30,Chase,Google Play Store
I haven't had any issues that JP Morgan Chase Bank hasn't assisted me with yet.,5,2025-05-30,Chase,Google Play Store
Great experience with Chase,5,2025-05-30,Chase,Google Play Store
A great travel and everyday card.,5,2025-05-30,Chase,Google Play Store
"great app, great service. thank you",5,2025-05-30,Chase,Google Play Store
Very Happy With My Service,5,2025-05-30,Chase,Google Play Store
I felt my issue was immediate and Chase put me at ease while solving the issue.,5,2025-05-30,Chase,Google Play Store
Excellent platform for Chase related banking/credit. Functions as it should.,5,2025-05-30,Chase,Google Play Store
I always pay my bill!!!!!! always on time!!!!!!! one time I didn't notice my automatic bill payer was going to pay one day late I got charged a late fee!!! this was so petty. they never reward me if I pay it early!!!,1,2025-05-30,Chase,Google Play Store
too many requests to rate the app,3,2025-05-30,Chase,Google Play Store
I have trusted Zelle for excellent service for many years.,5,2025-05-29,Chase,Google Play Store
I love this!,5,2025-05-29,Chase,Google Play Store
I'm done with chase bank completely. Nothing works either on the app or website. Next week I'm closing ALL my accounts and getting a new bank.,1,2025-05-29,Chase,Google Play Store
The app was much simpler for making payments than logging in on line.,5,2025-05-29,Chase,Google Play Store
"Great Service , good rewards",5,2025-05-29,Chase,Google Play Store
"Easy to use app, with all you may need and perhaps much more...",5,2025-05-29,Chase,Google Play Store
Awesome app.,5,2025-05-29,Chase,Google Play Store
Great Service,5,2025-05-29,Chase,Google Play Store
A+Perfect!!!,5,2025-05-29,Chase,Google Play Store
okay so I'm not the biggest fan of Chase however I will say absolutely do love the website and I think the people almost every time are delightful. but the app I like I really like,5,2025-05-29,Chase,Google Play Store
I love spending your money.,5,2025-05-29,Chase,Google Play Store
works well,5,2025-05-29,Chase,Google Play Store
love my card. have had no issues at all,5,2025-05-29,Chase,Google Play Store
Very happy! Chase really tries hard.,5,2025-05-29,Chase,Google Play Store
Great option to be able to lock and unlock your card,5,2025-05-29,Chase,Google Play Store
love the payment options,5,2025-05-29,Chase,Google Play Store
Great card for overseas travel,4,2025-05-29,Chase,Google Play Store
Easy to use,5,2025-05-29,Chase,Google Play Store
sucks,1,2025-05-29,Chase,Google Play Store
"great app, give the developers a raise please",5,2025-05-29,Chase,Google Play Store
update slow,3,2025-05-29,Chase,Google Play Store
"I don't know if I trust Chase Bank anymore. I filed a complaint against a company that overcharged me. They charged me 2 times for the same service on the same day. I filed a claim with Chase, and they said it was a legitimate charge. I filed another claim and explained that it was the same charge for the same service on the0 same day. Finally, they did reimburse me. I almost switched banks because of this. If a bank does not have my back, i'm going elsewhere.",3,2025-05-29,Chase,Google Play Store
way too much interest,2,2025-05-29,Chase,Google Play Store
Chase is dope,5,2025-05-29,Chase,Google Play Store
Started using it years ago. Still use it. Just started using more features. Gold! 🪙,5,2025-05-29,Chase,Google Play Store
I can't open my account now because of this update. and I don't trust just giving out my ssn and card number. very irresponsible of you.,1,2025-05-29,Chase,Google Play Store
"This app has the most info about my credit and they make everything really easy for you. This is prob my fav card, just wish the APR wasn't like 28% lol",5,2025-05-29,Chase,Google Play Store
message: choose interest saving balance what the hell are they talking about? well I found out - try to make a payment on your card and it makes all of your previous charges come due otherwise you start paying the interest. so I canceled my two cruise bookings - need to be more clear. not going to play this game.,1,2025-05-29,Chase,Google Play Store
best bank ever,5,2025-05-29,Chase,Google Play Store
excited,3,2025-05-28,Chase,Google Play Store
won't let me log in,1,2025-05-28,Chase,Google Play Store
"you can log in and do basic things. but if you try and do any investing, it's impossible. the tablet version is unusable. it's like a multi-dollar company made this. and not a multi-billion dollar company. it's making me debate if I want to continue to invest with them.",2,2025-05-28,Chase,Google Play Store
exelent service thank you,5,2025-05-28,Chase,Google Play Store
"App should be flexible to work on different types of cell phones,",1,2025-05-28,Chase,Google Play Store
"i,am so happy with your service",5,2025-05-28,Chase,Google Play Store
Great update,5,2025-05-28,Chase,Google Play Store
It very nice layout easy to navigate and understand the process is quick and the process to make payments is very easy. Happy Happy Happy!!! It's organized so it's very easy to see what you are looking for.,5,2025-05-28,Chase,Google Play Store
excellent.,5,2025-05-28,Chase,Google Play Store
Chase!!! My Bank Where you must place your trust because it care about your needs,5,2025-05-28,Chase,Google Play Store
Great!!,5,2025-05-27,Chase,Google Play Store
very clear easy to read pages,5,2025-05-27,Chase,Google Play Store
Manage your Chase bank account easily and accurately,5,2025-05-27,Chase,Google Play Store
Great,5,2025-05-27,Chase,Google Play Store
This app is easy to use and provides the opportunity to receive notifications that you choose.,5,2025-05-27,Chase,Google Play Store
this card helps greatly when needed. i love how easily it is to manage online.,5,2025-05-27,Chase,Google Play Store
app is not loading to allow signing options correctly!,1,2025-05-27,Chase,Google Play Store
Good Work $$$,5,2025-05-27,Chase,Google Play Store
great jod,4,2025-05-27,Chase,Google Play Store
"Please add 'Material Design' app theme support. Google introduced this years ago, there's no excuse for a bank as large as Chase to not support app themes.",5,2025-05-27,Chase,Google Play Store
great tool,5,2025-05-27,Chase,Google Play Store
app is good but the interest rate is terrible,1,2025-05-27,Chase,Google Play Store
cash back is KING!!,5,2025-05-27,Chase,Google Play Store
"It's a great app that lets me track spending, credit card and account balances. Their credit score checking system is free and easily accessible. As an app, it's a really great financial tool and doesn't really have any bugs in my experience. Overall satisfied with using the app.",5,2025-05-26,Chase,Google Play Store
I love it,5,2025-05-26,Chase,Google Play Store
"It is easy to use. The app isn't changed, throwing you into an unnecessary learning curve.",5,2025-05-26,Chase,Google Play Store
"I have banked with Chase since 2010. I've never had a problem that wasn't immediately taken care of by their work team. My account was hacked, and that is a horrifying experience !! each time that happened, the security team was very reassuring and patient. I live in a remote area, and there isn't a branch for about 75 miles. I still bank with Chase because they take good care of my pennies. Always kind and friendly customer service!! Thanks, 🤗Chase!",5,2025-05-26,Chase,Google Play Store
I love Chase banking. They explain exactly how the process of a returned item is credited back to your account & they accomplish that right away. The online banking is easy to do & there are no problems to file a claim. It's simple & they are always kind & patient. I use my Chase debit card alot so when I have to return a item they simply credit that particular sale item & they take it from there. Simplicity is how they work. It's appreciated & I'm one satisfied customer. Love ❤️ this bank!,5,2025-05-26,Chase,Google Play Store
Your last update disabled my lock unlock card function.... Please fix this.....🤔...,4,2025-05-26,Chase,Google Play Store
founded the foundation for success 🙌 ✅️ ✔️ 👍 ✨️ 🙏 🙌,5,2025-05-26,Chase,Google Play Store
the best credit card in the whole world.,5,2025-05-26,Chase,Google Play Store
easy to communicate through app. lots of useful functions that do not require walk in in person,5,2025-05-26,Chase,Google Play Store
Awesome app,5,2025-05-26,Chase,Google Play Store
why are you charging me interest on top of Monthly payments wich should include interest,1,2025-05-26,Chase,Google Play Store
awesome 👌,5,2025-05-26,Chase,Google Play Store
no problem yet with Zelle,4,2025-05-26,Chase,Google Play Store
"this app won't update, it won't let me unlock my card. right now it sucks",4,2025-05-25,Chase,Google Play Store
Good,5,2025-05-25,Chase,Google Play Store
"synonymous problems with chase app, customer service, and financial institution",1,2025-05-25,Chase,Google Play Store
"Please do not force people logging in to their account from the website to use push notifications on this app as 2FA. sometimes the push notification doesn't go through. Always allow someone to use SMS as a fallback. Even better, let us use authenticator apps like Google's.",1,2025-05-25,Chase,Google Play Store
very simple and easy to use,5,2025-05-25,Chase,Google Play Store
Multiple uses excellent card,5,2025-05-25,Chase,Google Play Store
I hate this app already. Two days in and it constantly needs a one time passcode to know if it's really me. I'm close to canceling my card.,1,2025-05-25,Chase,Google Play Store
"very user friendly and convenient. Customer service is quick and easy, also.",5,2025-05-25,Chase,Google Play Store
Suddenly I can't lock or unlock the Chase debit card from either the mobile app or the desktop app. This is a few days now! For a bank this size I think it is unusual. What's really going on?,1,2025-05-25,Chase,Google Play Store
"they put ads inside their banking app, and sell info. also they refuse to remove or lower cash advance portion of their credit card, and claim that you enter a pin to do a cash advance and then you have surprises that did not require a pin with their mandatory 30% apr for cash advance+10$ my credit isnt bad, if it was bad the credit union wouldnt give me 6% apr. chase is just a bad actor that gives everyone the 20%-26% apr rate on their card and 5% points on travel is now only in app purchases",1,2025-05-25,Chase,Google Play Store
Terrible experience for foreign travel. I'm not getting fraud alerts when I travel. It's just declining my card intermittently. their documentation all says that you don't need to report travel(and can't self service report travel) because of their magical fraud alerts(which aren't working and none of the 5 people they've transferred me to know how to set up). Instead customer service has now set up travel on my account. Ridiculous,2,2025-05-25,Chase,Google Play Store
"Chase banking is the BEST bank I have ever used. Alerts are sent immediately, allowing me to secure my account easily. the app is easy-to-use and navigation fro. o e screen to the next is simple. The customer service is top notch and professional.",5,2025-05-25,Chase,Google Play Store
Been with chase for 20 years,5,2025-05-24,Chase,Google Play Store
Fairly happy with the Chase app. My only suggestion would be to make it easier to find account statements. Never seems intuitive.,3,2025-05-24,Chase,Google Play Store
very interesting and easy access,5,2025-05-24,Chase,Google Play Store
easy to use. Great app.,5,2025-05-24,Chase,Google Play Store
Excellent service! Solid app UI.,5,2025-05-24,Chase,Google Play Store
it is ok,5,2025-05-24,Chase,Google Play Store
"cant log in. says username or password is incorrect, even though I have them written down. tried to change them and put in my info and it just says ""we cannot connect to chase"" it's been weeks now",1,2025-05-24,Chase,Google Play Store
"All of a sudden, I'm unable to lock & and unlock my card from the app. I called customer service. They suggested I uninstall the app & reinstall. I did that. still no luck.",3,2025-05-24,Chase,Google Play Store
easy to use and very convenient,5,2025-05-24,Chase,Google Play Store
"05/24/25 - It's been a couple of years since I last reviewed and the app has at least improved enough for me to raise my rating. However, it's still not five star because the latest update now displays a ""not connected to network alert"" when I wouldn't be able to log in with the app if I wasn't connected to a network. I clear the message and everything else functions fine.",4,2025-05-24,Chase,Google Play Store
Timely and efficient,5,2025-05-24,Chase,Google Play Store
Excellent experience 👏,5,2025-05-24,Chase,Google Play Store
The Best BANK..,5,2025-05-24,Chase,Google Play Store
"App isn't working and there's no way to let them know, you can call the number in the app but they'll say they can't help.",1,2025-05-24,Chase,Google Play Store
Low interest rates and easy to use app.,5,2025-05-24,Chase,Google Play Store
comes in clutch and is very useful well designed for mobile users,5,2025-05-24,Chase,Google Play Store
Worst customer service. Tasks requires being repeated and having to call customer service multiple times for the same unresolved issue.,1,2025-05-24,Chase,Google Play Store
